Web links;;;;
;;;;
;;;;
;;;;
;;;;
Platform;Name;Description;Keywords;URL
Android;Building responsive UI;;Android , resolution , dpi , size , screens , responsive , UI;https://medium.com/google-developers/building-a-responsive-ui-in-android-7dc7e4efcbb3#.6k5j9wcbm
Android;Android scheduler;;job scheduler , sync adapter , gcm network manager;https://www.bignerdranch.com/blog/choosing-the-right-background-scheduler-in-android/
Android;Device Art Generator;;android , devices , mockups , screenshots , captures , store;https://developer.android.com/distribute/tools/promote/device-art.html
Android;Constraint Layout;;;https://github.com/hitherejoe/Constraints
Android;Android transition animations samples;;;https://github.com/lgvalle/Material-Animations
Android;BottomSheetBehavior and AnchorSheetBehavior;;;https://medium.com/@marxallski/from-bottomsheetbehavior-to-anchorsheetbehavior-262ad7997286#.a1qvo1dqe
Android;Maintain its custom view;;;http://ivankocijan.xyz/writing-a-maintainable-custom-view-in-android/
Android;Assets minification for leaner APK;;;https://www.novoda.com/blog/leaner-apks-with-custom-asset-minification/
Android;RenderThread;;thread , animations , canvas;https://medium.com/@workingkills/understanding-the-renderthread-4dc17bcaf979#.5vstqpc5s
Android;Why your canvas shapes are not smooth;;canvas;https://medium.com/@ali.muzaffar/android-why-your-canvas-shapes-arent-smooth-aa2a3f450eb5#.f7396l5bc
Android;About contraint layouts;;;https://medium.com/@mustafa01ali/android-constraintlayout-friends-1b8299ab4340#.eaf8wgsfj
Android;Building an Android app using the MVP pattern;;;https://medium.com/android-news/building-an-android-app-using-the-mvp-pattern-model-view-presenter-e38822bcece7#.v8o6rxa35
Android;Android and crypto;;;https://www.cossacklabs.com/choose-android-crypto.html
Android;Build a Settings Screen;;;https://medium.com/@JakobUlbrich/building-a-settings-screen-for-android-part-3-ae9793fd31ec#.gvbtrbmo3
Design;Devices;;Dp , px , density , ratio , width , height;https://design.google.com/devices/
Android;Launch screen : from a tap to your app;;;http://cyrilmottier.com/2016/06/20/launch-screens-from-a-tap-to-your-app/
/;Neo Nomade;;Coworking , télécentre , wigwam;https://www.neo-nomade.com/index.php
/;MIME Types;;;http://www.freeformatter.com/mime-types-list.html
Android;The curious case of dependency conflicts;;Gradle , conflits , dependences;http://crushingcode.co/the-curious-case-of-dependency-conflicts/
Android;Identify, treat and avoid memory leaks;;memory , leaks;https://medium.com/freenet-engineering/memory-leaks-in-android-identify-treat-and-avoid-d0b1233acc8#.t8h8smzgm
Android;Using Bitmap Pools in Android;;bitmap , bitmap pools;https://medium.freecodecamp.com/how-to-use-bitmap-pool-in-android-56c71a55533c#.5phj8qo2m
Android;Android app performances tips;;performances ;https://medium.com/@amitshekhar/android-app-performance-tips-b2da3396162b#.6zwcjp952
/;Google : My Activity;Manage its activity through Google's services and products;google;https://myactivity.google.com/myactivity
/;Google : Maps timeline;;google;https://www.google.com/maps/timeline
/;Google : Dashboard;;google;https://www.google.com/settings/dashboard?hl=fr
/;Google : My account;;google;https://myaccount.google.com/?utm_source=OGB
/;Linux : Tor;;privacy , linux , tor;https://doc.ubuntu-fr.org/tor
/;Linux : Cryptsetup;;privacy , linux;https://doc.ubuntu-fr.org/cryptsetup
/;Tor Browser;;privacy , TOR;https://www.torproject.org/projects/torbrowser.html.en
/;CyanogenMod;;;http://www.cyanogenmod.org/
/;ArchLinux;;linux;https://archlinux.fr/
/;Linux Mint;;linux;https://www.linuxmint.com/
/;Keybase.io;;privacy , identity , public keys;https://keybase.io/
/;Mailvelope;;privacy;https://www.mailvelope.com/
/;ProtonMail;;privacy;https://protonmail.com/fr/
/;Spideroak;;privacy;https://spideroak.com/
/;Cryptocat;;privacy;https://crypto.cat/
/;Bleep;;privacy , chat;http://www.bleep.pm/
/;Epic Privacy Browser;;privacy;https://www.epicbrowser.com/
Android;Benchmarking on Android;;;http://greenrobot.org/android/benchmarking-on-android/
Android;Deep Dive Into Android State Restoration;;state , restoration;https://speakerdeck.com/cyrilmottier/deep-dive-into-android-state-restoration
Android;Android dashboards;;Android , fragmentation , versions;https://developer.android.com/about/dashboards/index.html
Android;Upsight;;marketing , analytics ;http://www.upsight.com
DevTool;Apteligent;Mobile application performance management;Crittercism , APM , metrics  , Android;https://www.apteligent.com/
/;Certificate and Public Key Pinning;;certificate;https://www.owasp.org/index.php/Certificate_and_Public_Key_Pinning 
Android;Security with HTTPS and SSL ;;HTTPS , security , SSL;https://developer.android.com/training/articles/security-ssl.html
Android;Supporting different screen sizes;;layout , sw , aliases , res;https://developer.android.com/training/multiscreen/screensizes.html
/;GSM Arena;Compare devices;;http://www.gsmarena.com/
/;Phone Arena ;Compare devices;;http://www.phonearena.com/
DevTool;Unitag;To build and customize QR codes;QR codes , tag;https://www.unitag.io/fr/qrcode
Android;How not to become a public enemy;;guidelines , public project , tips;http://blog.karumi.com/how-not-to-become-a-public-enemy-part-1/
Design;Programmatically create a ripple drawable of any color;;drawable;http://blog.blundellapps.co.uk/tut-programmatically-create-a-rippledrawable-of-any-color/
Android;Best Practices with Background Jobs;;background , jobs , tasks , service , data load;https://developer.android.com/training/best-background.html
Android;Android & Tech Publications;;;https://medium.com/android-news/tagged/android
Android;Better Android Intents with Dart and Henson;;Dart , Henson , intents;https://medium.com/groupon-eng/better-android-intents-with-dart-henson-1ca91793944b
/;Big ball of mud and other architectural disasters;;;https://blog.codinghorror.com/the-big-ball-of-mud-and-other-architectural-disasters/
Java;Howdy RxJava;;RxJava , reactive programming;https://medium.com/fuzz/howdy-rxjava-8f40fef88181#.sqfdlgy5d
Java;Android WebSocket. Feedback, or when every second matters;;websockets;https://stfalcon.com/en/blog/post/android-websocket
Android;Timing is everything;;interpolation , animations;https://medium.com/google-developers/timing-is-everything-8218b8df5485#.mk0b3s4xr
Android;Identify performance issues in your Android application;;performances , optimization;http://blog.octo.com/en/identify-performance-issues-in-your-android-application/
/;Why developers are scared to refactor code ?;;refactoring , TDD;https://medium.com/@nileshjarad/why-developers-scared-to-refactor-code-47efd1b854e7#.w15pydp4f
Kotlin;Why Kotlin is my next programming langage;;Kotlin , Java;https://medium.com/@octskyward/why-kotlin-is-my-next-programming-language-c25c001e26e3#.ttk52j1bf
Kotlin;Comparison to Scala;;Kotlin , Scala;https://kotlinlang.org/docs/reference/comparison-to-scala.html
Kotlin;Comparison to Java;;Kotlin , Java;https://kotlinlang.org/docs/reference/comparison-to-java.html
DevTool;Can I use;;web , API , features;http://caniuse.com/
Web;What web can do today;;web , API , features;https://whatwebcando.today/
JavaScript;JS Republic;;JavaScript;http://blog.js-republic.com/
/;Getting the most out of Crashlytics;;Crashlytics;https://medium.com/fuzz/getting-the-most-out-of-crashlytics-380afb703876#.rfdhba71n
/;Code smells;;code , smells;https://blog.codinghorror.com/code-smells/
Web;UNCSS;;CSS , uncss;http://blog.js-republic.com/avec-uncss-mettez-au-regime-vos-feuilles-de-styles/
Web;Normalize CSS;To normalize CSS and their effects in browsers;normalize , css;https://necolas.github.io/normalize.css/
Web;Skeleton CSS;;skeleton , css;http://getskeleton.com/
Web;Animate CSS;;animations , css;https://daneden.github.io/animate.css/
JavaScript;Nightwatch.js;Browser automated testing done easy;Nightwatch , js , test;http://blog.js-republic.com/introduction-a-nightwatch-tests-dacceptance-ultra-rapides/    http://nightwatchjs.org/
/;TIOBE;;programming langages , rank;http://www.tiobe.com/tiobe-index/
/;PYPL;;programming langages , rank;http://pypl.github.io/PYPL.html
Android;How to do TDD in Android ?;;TDD , tests;https://medium.com/@nileshjarad/how-to-do-tdd-in-android-90f013d91d7f#.kjz090ndl
Android;Better Android software development : MVVM with RxJava;;MVVM , RxJava;https://www.codevate.com/blog/13-better-android-software-development-mvvm-with-rxjava
/;MVP vs MVP vs MVVM;;;https://nirajrules.wordpress.com/2009/07/18/mvc-vs-mvp-vs-mvvm/
/;Difference between MVC, MVP and MVVM;;MVC , MVP , MVVM;https://www.linkedin.com/pulse/difference-between-mvc-mvp-mvvm-swapneel-salunkhe
/;Why you should care about copyright;;copyright;http://jeroenmols.com/blog/2016/08/03/copyright/
Android;Awareness API;;awareness API;https://developers.google.com/awareness/
/;Device Specifications;;devices , specs , hardware , comparison;http://www.devicespecifications.com/en
/;Duo Skin;;tatoo , duo skin , transhumanism;http://duoskin.media.mit.edu/
/;Flutter;;Android , iOS;https://flutter.io/
Design;Justinmind;;prototyping;http://www.justinmind.com/
Android;Display resolutions;;resolution;https://en.wikipedia.org/wiki/Graphics_display_resolution
Android;Code style;;guidelines;https://source.android.com/source/code-style.html
/;Buffer app guidelines;;guidelines;https://github.com/bufferapp/android-guidelines/blob/master/project_style_guidelines.md
Android;Packtpub;Packt publishing;books , ebooks;https://www.packtpub.com/
Android;26 Awesome Android Reverse Engineering Tools;;RI , reverse engineering , tools;https://hackerlists.com/android-reverse-engineering-tools/
Android;Dare;Dalvik Retargeting;RI , reverse engineering , tools;http://siis.cse.psu.edu/dare/index.html
Android;Dedexer;Disassembler tool for DEX files;RI , reverse engineering , tools;http://dedexer.sourceforge.net/
Android;Intent Sniffer;;RI , reverse engineering , tools;https://www.nccgroup.trust/us/about-us/resources/intent-sniffer/
Java;CFR;Another Java decompiler;RI , reverse engineering , tools;http://www.benf.org/other/cfr/
/;JAD;Java Decompiler;RI , reverse engineering , tools;http://varaneckas.com/jad/
Kotlin;Software development explained with cars;;;https://toggl.com/developer-methods-infographic
Android;Learn Kotlin while developing an Android app;;Kotlin , tutorials;https://medium.com/@juanchosaravia/learn-kotlin-while-developing-an-android-app-introduction-567e21ff9664#.4izg7j9n9
Android;Feature discovery;;tap targets , prompts , step actions;https://material.google.com/growth-communications/feature-discovery.html#
Web;Pathmorphing with AnimatedVectorDrawables in Android;;drawables , pathmorphing , animations;https://lewismcgeary.github.io/posts/animated-vector-drawable-pathMorphing/
/;Progressive Web Apps;;progressive web app , pwa;https://developers.google.com/web/progressive-web-apps/
/;Ecrans AMOLED vs IPS : qui offre la meilleure qualité d'afichage ?;;AMOLED , IPS;http://www.phonandroid.com/ecrans-amoled-vs-ips-qui-offre-meilleure-qualite-affichage.html
Web;Toutes les différences entre un écran LCD, TFT, IPS, AMOLED et Retina;;LCD , TFT , IPS , AMOLED , Retina;http://www.androidpit.fr/difference-lcd-tft-amoled-retina
Android;Progressive Web Apps rocks;;progressive web apps , pwa;https://pwa.rocks/
Android;Les éditeurs d'antivirus Android, leurs mensonges et leurs secrets;Article with references to tools or companies about security;security;http://www.zdnet.fr/actualites/les-editeurs-d-antivirus-android-leurs-mensonges-et-leurs-secrets-39769784.htm
Kotlin;Lessons from converting an app to 100% Kotlin;;Kotlin , app convert;https://medium.com/keepsafe-engineering/lessons-from-converting-an-app-to-100-kotlin-68984a05dcb6#.3rmy7agwo
/;Escaping The Sandbox By Not Breaking It;;Android , iOS , sandbox;https://speakerdeck.com/flankerhqd/escaping-the-sandbox-by-not-breaking-it
/;Learn Git with Bitbucket Cloud;;Git , tutorial;https://www.atlassian.com/git/tutorials/learn-git-with-bitbucket-cloud
/;Qualcomm Processors Comparison;;devices , specs , hardware , comparison , snapdragon;https://www.qualcomm.com/products/snapdragon/processors/comparison
Android;Android Foundry;;Android , goodies , geek;http://android-foundry.com/
/;Hype pulse;;Android , goodies , geek;http://www.hypepulse.com/
/;PC Mark;Complete performance testing;devices , tests , hardware;https://www.futuremark.com/benchmarks/pcmark
Kotlin;GameBench;A suite of performance analysis tools for Android and iOS devices;devices , tests , hardware;https://www.gamebench.net/
Android;Kotlin : The Good, The Bad, The Ugly;;Kotlin , how to;https://medium.com/keepsafe-engineering/kotlin-the-good-the-bad-and-the-ugly-bf5f09b87e6f#.nbl0pt294
Design;And then my phone became smarter – A journey into the Awareness API;;API Awareness;https://speakerdeck.com/francois_blavoet/and-then-my-phone-became-smarter-a-journey-into-the-awareness-api
Android;Dreamstime;;pictures , photos, free;https://fr.dreamstime.com/
Android;Android versions comparisons;;Android , versions , Apple Pie , Banana Bread , Cupcake , Donut , Eclair, Froyo , Gingerbread , Honeycomb , Ice Cream Sandwich , Jelly Bean , Kit Kat , Lollipop , Marshmallow , Nougat;http://socialcompare.com/fr/comparison/android-versions-comparison
Android;Stop ignoring Android Lint, use it;;Lint;https://medium.com/yplan-eng/stop-ignoring-android-lint-use-it-8a8ee2ca6af8#.91gmqdksr
/;Devknox;Androdi Studio plugin that helps developers to detect and resolve security issues;security , app;https://devknox.io/documentation
/;List of programming langages by type;;langages , types , paradigms;https://en.wikipedia.org/wiki/List_of_programming_languages_by_type
Android;Programming paradigm;;langages , types , paradigms;https://en.wikipedia.org/wiki/Programming_paradigm
Kotlin;Reducing Mobile Data Usage in your Apps;;mobile data;https://www.youtube.com/watch?v=tnj2uoTwevg
Android;Kotlin reference;;Kotlin , lessons , basics;https://kotlinlang.org/docs/reference/
Android;Android Tips and Tricks;;tips , IDE , code , dev , cheats;https://github.com/nisrulz/android-tips-tricks
Android;RenderScript;RenderScript is a framework for running computationally intensive tasks at high performance on Android. ;intensive tasks , performances , data-parallel computation;https://developer.android.com/guide/topics/renderscript/compute.html
Swift;NDK;The Android NDK is a toolset that lets you implement parts of your app using native-code languages such as C and C++.;NDK;https://developer.android.com/ndk/index.html
Kotlin;Advanced ObjC <-> Swift Interoperability;;ObC , Swift , interoperability;https://realm.io/news/altconf-nikita-lutsenko-objc-swift-interoperability/
Kotlin;K for Kotlin;;Kotlin;https://speakerdeck.com/marcpoppleton/k-for-kotlin
Web;Kotlin awesome tricks for Android;;Kotlin , tricks;http://antonioleiva.com/kotlin-awesome-tricks-for-android/
Java;Physical Web URL validatator;;physical web , URL;https://beaufortfrancois.github.io/sandbox/physical-web/url-validator/
/;Getters and setters are evil;;getter , setter , spaghetti , POO , OO;http://www.marcus-biel.com/getters-and-setters-are-evil/?utm_content=buffer27e5f&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer
Go;Anemic Domain Model;;OO , pattern , conception , layers;http://www.martinfowler.com/bliki/AnemicDomainModel.html
Go;The Go Blog;;Go;https://blog.golang.org/
Go;iOS and Android Programming with Go;;Go , Android , iOS;https://www.sitepoint.com/ios-and-android-programming-with-go/
Android;Github Wiki Go;;Go;https://github.com/golang/go/wiki/Mobile
Scala;Android Heap Allocation zero-to-one;;Android , heap , allocation , memory;https://medium.com/@huynhquangthao/android-heap-allocation-zero-to-one-a986b61f66b6#.hatke64i7
Scala;Scala;;Scala;http://www.scala-lang.org/
Design;Scala on Android;;Scala , Android;http://macroid.github.io/ScalaOnAndroid.html
Groovy;Lorem pixel;Placeholder images;images , lorem ipsum;http://lorempixel.com/
Groovy;Groovy;;Groovy;http://www.groovy-lang.org/
Groovy;Android on Groovy;;Groovy , Android;http://fr.slideshare.net/sascha_klein/android-on-groovygr8-48989809
Android;Developping Android applications with Groovy ?;;Groovy , Android;https://speakerdeck.com/player/e8e58fc0cdee0131f20616308848c4b8#
/;Herethings about dark themes and battery savings;;AMOLED , battery , screen , wallpapers , themes;http://www.androidcentral.com/heres-thing-about-dark-themes-and-battery-savings
Android;Project blocks;;Google , blocks;https://projectbloks.withgoogle.com/
Design;UI Updates in a Multi-Windows World;;UI , multi windows;https://www.bignerdranch.com/blog/android-activity-lifecycle-onStop/
Android;Fontawesome;;fonts;http://fontawesome.io/
Android;Eight ways your Android app can stop leaking memory;;memory , leaks;http://blog.nimbledroid.com/2016/09/06/stop-memory-leaks.html
/;Eight ways your Android app can leak memory;;memory , leaks;http://blog.nimbledroid.com/2016/05/23/memory-leaks.html
Android;Oh shit, git !;Tips to know to use git and fix some errors;Git , tips;http://ohshitgit.com/
Android;Sort SortedList by different criterua;;list , sorted lists;https://medium.com/@nullthemall/sort-sortedlist-by-different-criteria-812003ba6f1#.se6jkr3m8
Android;Firebase Analytics VS Google Analytics;;Firebase , analytics , stats , reports;https://medium.com/google-developer-experts/firebase-analytics-vs-google-analytics-b2010f34d2bb#.g1it8ejcx
Android;Firebase Crash reporting vs Crashlytics;;Firebase , Crashlytics , crash , reports;https://medium.com/google-developer-experts/firebase-crash-reporting-vs-crashlytics-a6c287c4b792#.bo0dqi2es
Android;Implementing a modal selection helper for RecyclerView;;Recycler view , helper;https://medium.com/@BladeCoder/implementing-a-modal-selection-helper-for-recyclerview-1e888b4cd5b9#.dl6wvqatu
Android;Build and Run Android from AOSP Source Code to a Nexus 7;;AOSP , build;https://stanfy.com/blog/build-and-run-android-from-aosp-source-code-to-a-nexus-7/
Design;Processes and Threads , Activitys, Threads and Memory leaks;;activity , threads , process , task , memory , leak;https://developer.android.com/guide/components/processes-and-threads.html    http://www.androiddesignpatterns.com/2013/04/activitys-threads-memory-leaks.html
Android;Freesound;;sound;http://freesound.org/
/;Update Dependencies. Code. Repeat.;;Gradle;http://crushingcode.co/update-dependencies-code-repeat/
Android;Crushing C.O.D.E;;dev;http://crushingcode.co/
Android;Support Library for Transitions. Overview and comparison with Transitions-Everywhere;;support library , transitions;https://medium.com/@andkulikov/support-library-for-transitions-overview-and-comparison-c41be713cf8c#.kvaqpbrb3
Android;ViewPager cards inspired by Duolingo;;viewpager , cards , animations;http://www.jayrambhia.com/blog/android-viewpager-cards-1
Android;Exploring Android;Deep dives and how to's for the latest Android platform features;Android , howto;https://medium.com/exploring-android
Android;Reasons Not tTo Use Firebase;;Firebase , real-tim;https://crisp.im/blog/why-you-should-never-use-firebase-realtime-database/
Android;Is yout custom view interactive aware ?;;custom view , interaction , screen;https://renaudcerrato.github.io/2016/09/15/is-your-custom-view-interactive-aware/
Android;Realm – It's all about the choices we make;;Realm , database , data storage;https://android.jlelse.eu/realm-its-all-about-the-choices-we-make-7c2fe380ecd8#.2a3i48yfi
Android;ThirtyInch – a new MVP library for Android;;ThirtyInch , MVP;https://medium.com/@passsy/thirtyinch-a-new-mvp-library-for-android-bd1a27262fd6#.npwnk7pwf
Android;Tips and Tricks for Building High-Performance Android Apps using Native Code;;native code , performances , JNI , C++ , C;http://fr.slideshare.net/geisshirt/tips-and-tricks-for-building-high-performance-android-apps-using-native-code
