Devices;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Type;OS;Constructor;Name;Screen size;Screen type;Screen resolution;SoC;GPU;Sensors;Battery;Storage;RAM;Camera;Dimensions;Weight;IP;USB Type;SD Card;SIM;UI
smartphone;Android;Samsung;Galaxy S8;5.8’’;Corning Gorilla Glass 5 , Super AMOLED;1440 x 2960 px = Quad HD;Samsung Exynos 8 (Qualcomm Snapdragon 835 (USA));ARM Mali-G71 MP20;Hall sensor , heart rythm , fingerprint , face scanner , iris scanner , barometer , gyroscope , compass , accelerometer , light sensor , proximitry sensor , Bluetooth 5.0 , NFC , GPS , Wi-Fi;3000 mAh , Li-Polymer;64 GB;4 GB;Sony Exmor IMX260 RS    CMOS    f/1.7    12.19 MP    (back) , 7.99 MP    (front);148.9 x 68.1 x 8 mm;155 g;IP 68;3.1 , C;microSD;nano;TouchWiz
smartphone;Android;Samsung;Galaxy S8+;6.2’’;Corning Gorilla Glass 5 , Super AMOLED;1440 x 2960 px = Quad HD;Samsung Exynos 8 (Qualcomm Snapdragon 835 (USA));ARM Mali-G71 MP20;Hall sensor , heart rythm , fingerprint , face scanner , iris scanner , barometer , gyroscope , compass , accelerometer , light sensor , proximitry sensor , Bluetooth 5.0 , NFC , GPS , Wi-Fi;3500 mAh , Li-Polymer;64 GB;4 GB;Sony Exmor IMX260 RS    CMOS    f/1.7    12.19 MP    (back) , 7.99 MP    (front);159.5 x 73.4 x 8.1 mm;173 g;IP 68;3.1 , C;microSD;nano;TouchWiz
smartphone;Android;HTC;10;5.2'';Super LCD 5;1440 x 2560 px = Quad HD;Qualcomm Snapdragon 820;Qualcomm Adreno 530;Tango ready , Daydream ready , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth 5 , NFC , GPS , Wi-Fi;3000 mAh , Li-Polymer;32 GB , 64 GB;4 GB;Sony Exmor IMX377 R    CMOS BSI    6.25x4.65 mm    1.55 µm    f/1.8    12.19 MP    (back) , 5.04 MP     (front);145.9 x 71.9 x 9 mm;161 g;IP 53;3.1 , C;no;nano;Sense UI
smartphone;Android;HTC;U Ultra;5.7'';Corning Gorilla Glass 5 , Super LCD 5;1440 x 2560 px = Quad HD;Qualcomm Snapdragon 821;Qualcomm Adreno 530;fingerprint , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;3000 mAh , Li-Polymer;64 GB , 128 GB;4 GB;Sony Exmor IMX378 R    CMOS    f/1.8    12.29 MP    (back) , 15.93 MP    (front);162.41 x 79.79 x 7.99 mm;170 g;no;3.1 , C;microSD;nano , nano;Sense UI
smartphone;Android;HTC;U Play;5.2'';Corning Gorilla Glass , Super LCD;1080 x 1920 px = Full HD;MediaTek Helio P10;ARM Mali-T860 MP2;fingerprint , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;2500 mAh , Li-Polymer;32 GB , 64 GB;3 GB;CMOS BSI    f/2.0    15.93 MP    (back) , 15.93 MP    (front);145.99 x 72.9 x 7.99 mm;145 g;no;2.0 , C;microSD;nano , nano;Sense UI
smartphone;Android;HTC;U 11;5.5’’;Corning Gorilla Glass 5 , IPS , Super LCD 5;1440 x 2560 px = Quad HD;Qualcomm Snapdragon 835;Qualcomm Adreno 540;side frame sensor , fingerprint , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;3000 mAh , Li-Polymer;64 GB , 128 GB;4 GB , 6 GB;Sony IMX362 Exmor RS    CMOS    f/1.7    12.19 MP    (back) ,    16.28 MP (front);153.9 x 75.9 x 7.9 mm;169 g;IP 67;3.1 , C;microSD;nano , nano;Sense UI
smartphone;Android;LG;G5;5.3'';IPS;1440 x 2560 px = Quad HD;Qualcomm Snapdragon 820;Qualcomm Adreno 530;Hall sensor , fingerprint , proximity , light , accelerometer , compass  , Bluetooth , NFC , GPS , Wi-Fi;2800 mAh , Li-Ion;32 GB;4 GB;CMOS    5.95x3.35 mm    1.12 µm    f/1.8    15.87 MP    (back) , 7.99 MP    (front);149.4 x 73.9 x 7.7 mm;159 g;no;3.0 , C;no;nano;Optimus UI
smartphone;Android;LG;G6;5.7’’;IPS;1440 x 2880 px = QH +;Qualcomm Snapdragon 821;Qualcomm Adreno 530;Hall sensor , fingerprint , proximity , light , accelerometer , compass  , Bluetooth , NFC , GPS , Wi-Fi;3300 mAh , Li-Ion;32 GB , 64 GB;4 GB;Sony IMX 258 Exmor TS    CMOS    1.133 µm    f/1.8    12.98 MP    (back) , 5.04 MP    (front);148.9 x 71.9 x 7.9 mm;163 g;IP 68;3.1 , C;microSD;nano;UX 6.0
smartphone;Android;Sony;Xperia Z3 Compact;4.6'';IPS;720 x 1280 px = HD;Qualcomm Snapdragon 801;Qualcomm Adreno 330; barometer ,proximity , light , accelerometer , compass  , gyroscope , step detector , step counter ,  Bluetooth , NFC , GPS , Wi-Fi;2600 mAh , Li-Ion;16 GB , 32 GB;2 GB;Sony Exmor IMX220 RS    CMOS    6.17x4.55mm    1.176 µm    f/2.0    20.66 MP    (back) , 2.07 MP    (front);127 x 64.9 x 8.6 mm;129 g;IP 68;2.0 , micro-B;microSD;nano;Xperia UI
smartphone;Android;Sony;Xperia Z5;5.2'';IPS;1080 x 1920 px = Full HD;Qualcomm Snapdragon 810;Qualcomm Adreno 430;Geomagnetic , barometer ,  fingerprint , proximity , light , accelerometer , compass  , gyroscope , step detector , step counter ,  Bluetooth , NFC , GPS , Wi-Fi;2900 mAh , Li-Polymer;32 GB;3 GB;Sony Exmor RS    CMOS    6.17x4.55 mm    1.118 µm    22.85 MP    (back) , 5,04 MP    (front);146 x 72 x 7.3 mm;154 g;IP 68;2.0 , micro-B;no;nano;Xperia UI
